city,lat,lon,score,ramo,uf,capital
Cidade_1,-3.5754175990696133,-68.53199442602396,3.521964849261638,Alimentação,ES,True
Cidade_2,-5.202678245683906,-37.76066399252397,2.2405086833426195,Alimentação,BA,False
Cidade_3,-31.975660584271157,-57.64605982554697,2.5349838575759462,Varejo,RJ,False
Cidade_4,-16.43007434531636,-61.558787143371504,2.9762671339140288,Saúde,GO,False
Cidade_5,-29.333296513144962,-48.454014919305536,1.3685412945419462,Serviços,PI,False
Cidade_6,-31.308861838792367,-42.052453347082306,2.8432008891584393,Serviços,BA,False
Cidade_7,-20.330772647430674,-34.36068759685478,2.2889006657710116,Varejo,ES,False
Cidade_8,-6.7205963787631084,-59.67418106698382,2.1758824401371406,Varejo,TO,False
Cidade_9,-26.408478357870184,-60.57987360343293,2.95120251459772,Varejo,RS,False
Cidade_10,-1.2328214189384639,-65.02497159768183,2.0080363992927017,Varejo,SP,False
Cidade_11,-12.368919362467931,-54.32096166032632,2.469605277320419,Varejo,AM,False
Cidade_12,-21.78133891128281,-66.97360660175244,2.0788445293780615,Luxo,SP,False
Cidade_13,-18.838689627085614,-45.65946804535649,2.8282132095332346,Educação,MS,False
Cidade_14,-19.116509929521797,-67.5787531314789,1.878913322858562,Educação,PB,False
Cidade_15,-13.565777494598997,-58.823920463405194,2.5492817050164525,Varejo,RR,False
Cidade_16,-12.741503656224303,-46.993847375203444,2.311549453062504,Varejo,AC,False
Cidade_17,3.036762947819561,-36.75032967891558,2.1366569018385637,Alimentação,RS,False
Cidade_18,-15.918400959444842,-68.87012672163269,2.5294581987106444,Serviços,SP,False
Cidade_19,-30.28595285851905,-73.07465932102518,2.016966678385289,Educação,TO,False
Cidade_20,-5.266418469586846,-37.25322918642784,2.522904983270753,Alimentação,RS,False
Cidade_21,-16.41258313008529,-71.99960583050434,2.847565004736585,Educação,BA,False
Cidade_22,1.1333708990993543,-36.396534189207486,2.1392706985952623,Varejo,CE,False
Cidade_23,2.876467334005504,-35.15596726227575,2.042313013327281,Alimentação,CE,False
Cidade_24,-21.693589044359562,-41.75167010884091,2.4408949808944325,Serviços,MA,True
Cidade_25,-22.313236336477807,-48.09539800270703,2.7480686475135716,Alimentação,AC,False
Cidade_26,3.615536381956673,-43.351395270205344,2.8748854959898984,Saúde,PR,False
Cidade_27,-22.38921868141231,-43.864888495681086,2.942770632677447,Serviços,PB,False
Cidade_28,-2.29016569501162,-52.11657299151796,2.8434044856679557,Educação,PA,False
Cidade_29,-11.578108419723659,-54.80848075767524,2.6212378635882816,Varejo,AP,False
Cidade_30,-32.87598957685193,-34.36115123624714,2.5051969868311392,Educação,PA,False
Cidade_31,-31.28061591920656,-38.623567586220744,1.873138534359794,Varejo,AP,False
Cidade_32,-29.290349718924478,-49.73386577272281,2.739419628337786,Alimentação,RN,False
Cidade_33,2.3911902994078815,-42.70052690968078,2.7320854305161353,Alimentação,RJ,False
Cidade_34,-30.806704124573596,-47.34588490442496,2.6633498252067507,Alimentação,MG,False
Cidade_35,-3.310153326109358,-37.71560822527031,2.804141061714053,Educação,CE,False
Cidade_36,-28.472256217791887,-47.56733621393225,2.8964969775176677,Educação,SE,False
Cidade_37,-9.489940242521275,-69.95008483148514,2.489529968408947,Alimentação,DF,False
Cidade_38,-16.75227085480683,-68.42904036855246,2.238254746104503,Educação,ES,False
Cidade_39,-2.445639644831779,-72.68480040137648,3.4462591312929156,Varejo,AM,False
